"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 20:07:16 GMT 2024","Tue Mar 05 20:07:17 GMT 2024","1377","Google Chrome","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:07:03 GMT 2024","Tue Mar 05 20:07:14 GMT 2024","10723","Google Chrome","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:07:14 GMT 2024","Tue Mar 05 20:07:16 GMT 2024","1954","Google Chrome","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:06:39 GMT 2024","Tue Mar 05 20:06:42 GMT 2024","2581","firefox","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:06:36 GMT 2024","Tue Mar 05 20:06:39 GMT 2024","3180","firefox","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:06:31 GMT 2024","Tue Mar 05 20:06:33 GMT 2024","1982","chromium","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:06:27 GMT 2024","Tue Mar 05 20:06:31 GMT 2024","3693","chromium","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:06:45 GMT 2024","Tue Mar 05 20:06:58 GMT 2024","13201","Microsoft Edge","todo.spec.ts","","","","should be able to add a new todo",""
"passed","Tue Mar 05 20:06:33 GMT 2024","Tue Mar 05 20:06:34 GMT 2024","1448","chromium","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:06:58 GMT 2024","Tue Mar 05 20:07:00 GMT 2024","1985","Microsoft Edge","todo.spec.ts","","","","should be able to delete a todo",""
"passed","Tue Mar 05 20:06:42 GMT 2024","Tue Mar 05 20:06:43 GMT 2024","1718","firefox","user.spec.ts","","","","should be able to register to our application",""
"passed","Tue Mar 05 20:07:00 GMT 2024","Tue Mar 05 20:07:02 GMT 2024","1475","Microsoft Edge","user.spec.ts","","","","should be able to register to our application",""
